Date,Close,Volume
31/03/2020,1.385,5478755
1/04/2020,1.51,5604326
2/04/2020,1.46,3455455
3/04/2020,1.345,4391366
6/04/2020,1.815,13281522
7/04/2020,1.85,13546404
8/04/2020,1.835,6012867
9/04/2020,2.5,16872340
14/04/2020,2.35,11449133
15/04/2020,2.39,8470190
16/04/2020,2.23,5428784
17/04/2020,2.17,5882104
20/04/2020,2.03,5331875
21/04/2020,1.97,4420133
22/04/2020,1.93,3384829
23/04/2020,1.965,3212942
24/04/2020,2.73,35690385
27/04/2020,3.85,35708835
28/04/2020,3.24,20177229
29/04/2020,3.16,15697897
30/04/2020,3.36,11248121
1/05/2020,3.23,5767522
4/05/2020,3.25,7075541
5/05/2020,3.28,5838105
6/05/2020,3.69,15917901
7/05/2020,3.54,7793411
8/05/2020,3.44,7371224
11/05/2020,3.44,0
12/05/2020,3.44,0
13/05/2020,3.39,10191278
14/05/2020,3.67,17302085
15/05/2020,3.65,9048491
18/05/2020,4.17,15725283
19/05/2020,3.81,10113467
20/05/2020,3.83,5801398
21/05/2020,3.81,5373581
22/05/2020,3.69,5242397
25/05/2020,3.68,8587119
26/05/2020,3.77,3725914
27/05/2020,3.84,6885260
28/05/2020,3.69,7418383
29/05/2020,4,7578832
1/06/2020,3.93,7383896
2/06/2020,3.86,3843033
3/06/2020,3.87,3958564
4/06/2020,3.86,3943819
5/06/2020,3.73,3711790
9/06/2020,3.76,5230866
10/06/2020,3.9,6629717
11/06/2020,3.92,5982467
12/06/2020,3.6,8584850
15/06/2020,3.61,8081326
16/06/2020,3.9,7627934
17/06/2020,3.97,5597632
18/06/2020,4,5637647
19/06/2020,4.14,26925946
22/06/2020,3.7,14505906
23/06/2020,3.39,14468779
24/06/2020,3.47,8363125
25/06/2020,3.25,7915620
26/06/2020,3.32,6553153
29/06/2020,3.09,8060435
30/06/2020,3.25,7288690
1/07/2020,3.32,5247115
2/07/2020,3.41,3576310
3/07/2020,3.37,4918897
6/07/2020,3.75,9761843
7/07/2020,3.58,6537274
8/07/2020,3.66,5505026
9/07/2020,3.73,4925493
10/07/2020,3.67,4036974
13/07/2020,3.48,6230388
14/07/2020,3.22,6473418
15/07/2020,3.35,6377234
16/07/2020,3.27,5833614
17/07/2020,3.32,4108076
20/07/2020,3.35,3833455
21/07/2020,3.7,8231941
22/07/2020,3.45,6785781
23/07/2020,3.54,3938875
24/07/2020,3.51,3309299
27/07/2020,3.69,5443588
28/07/2020,3.68,6377175
29/07/2020,3.65,3674350
30/07/2020,3.83,9198906
31/07/2020,3.78,4862954
3/08/2020,3.85,7064887
4/08/2020,4.12,8354046
5/08/2020,4.3,15438917
6/08/2020,4.3,6430424
7/08/2020,4.4,7700662
10/08/2020,4.87,10311016
11/08/2020,3.36,51937410
12/08/2020,3.07,31844070
13/08/2020,3.38,19516145
14/08/2020,4.7,38852353
17/08/2020,4.91,20241202
18/08/2020,5.2,18209751
19/08/2020,5.09,10544038
20/08/2020,5.11,7740914
21/08/2020,5.11,5695378
24/08/2020,5.25,5930886
25/08/2020,5.24,6413251
26/08/2020,5.15,8111937
27/08/2020,5.2,6655342
28/08/2020,5.22,5857969
31/08/2020,5.31,8304946
1/09/2020,5.24,5403186
2/09/2020,5.15,8847608
3/09/2020,5.1,5981701
4/09/2020,4.95,12210576
7/09/2020,4.68,11124422
8/09/2020,4.71,6138110
9/09/2020,4.54,5573821
10/09/2020,4.5,5987808
11/09/2020,4.49,4860022
14/09/2020,4.64,6368529
15/09/2020,4.8,10227637
16/09/2020,4.89,5019312
17/09/2020,4.77,5991952
18/09/2020,4.91,7387682
21/09/2020,4.96,6046916
22/09/2020,5.02,6128601
23/09/2020,5.11,7253561
24/09/2020,4.94,6475045
25/09/2020,4.91,5993594
28/09/2020,5.5,12742995
29/09/2020,5.19,14246508
30/09/2020,5.08,13211576
1/10/2020,5.08,0
2/10/2020,3.19,67887724
5/10/2020,3.56,31573184
6/10/2020,3.41,14912583
7/10/2020,3.36,8606654
8/10/2020,3.35,7237412
9/10/2020,3.37,5045444
12/10/2020,3.34,3844637
13/10/2020,3.27,7563826
14/10/2020,3.26,3927779
15/10/2020,3.21,4677323
16/10/2020,3.11,7446653
19/10/2020,3.23,6809208
20/10/2020,3.4,7824971
21/10/2020,3.25,6709803
22/10/2020,3.19,4385208
23/10/2020,3.16,2667042
26/10/2020,3.15,3085753
27/10/2020,3.04,4154289
28/10/2020,3.1,2920578
29/10/2020,3.15,4893534
30/10/2020,3.06,3535302
2/11/2020,3.05,2700138
3/11/2020,3.13,2127938
4/11/2020,3.18,3089629
5/11/2020,3.25,3445442
6/11/2020,3.2,2428259
9/11/2020,3.38,4287118
10/11/2020,3.13,6269799
11/11/2020,3.28,5828719
12/11/2020,3.2,2390685
13/11/2020,3.25,2424021
16/11/2020,3.33,494977
17/11/2020,3.25,2260357
18/11/2020,3.25,2120127
19/11/2020,3.27,2240982
20/11/2020,3.64,17154614
23/11/2020,4.28,18565596
24/11/2020,4.47,19344460
25/11/2020,4.15,8056804
26/11/2020,4.09,5507824
27/11/2020,4.07,3034144
30/11/2020,4.16,3761674
1/12/2020,4.13,2597535
2/12/2020,4.43,19391238
3/12/2020,4.26,5986301
4/12/2020,4.32,4169045
7/12/2020,4.49,6941509
8/12/2020,4.49,5707316
9/12/2020,4.71,5679559
10/12/2020,4.48,6305149
